SECCION: ;Date;InvoiceNumber;Description;DueDate;TransactionTypeDescription;DebtorNumber;cmp_name; AmountTC ;Estatus: ;Fecha: ;Obeservaciones: 
PANAMÁ;27/7/2023;1205433;;26/8/2023;Factura de venta;10084;ASAMBLEA NACIONAL; B/.285.69 ;Sin informacion; -;-
PANAMÁ;24/3/2023;1192531;;23/4/2023;Factura de venta;10390;FUNDACION TECNOLOGICA DE PMA (FTP); B/.0.05 ;Sin informacion; -;-
PANAMÁ;7/8/2023;1206571;;8/8/2023;Factura de venta;10390;FUNDACION TECNOLOGICA DE PMA (FTP); B/.8.24 ;Sin informacion; -;-
PANAMÁ;8/8/2023;1206597;;9/8/2023;Factura de venta;10390;FUNDACION TECNOLOGICA DE PMA (FTP); B/.51.68 ;Sin informacion; -;-
PANAMÁ;8/8/2023;1206599;;9/8/2023;Factura de venta;10390;FUNDACION TECNOLOGICA DE PMA (FTP); B/.3.53 ;Sin informacion; -;-
PANAMÁ;8/8/2023;1206603;;9/8/2023;Nota de crédito Ventas;10390;FUNDACION TECNOLOGICA DE PMA (FTP);-B/.51.68 ;Sin informacion; -;-
PANAMÁ;9/8/2023;1206774;;10/8/2023;Factura de venta;10390;FUNDACION TECNOLOGICA DE PMA (FTP); B/.18.62 ;Sin informacion; -;-
PANAMÁ;21/12/2022;10848567;ACH GENERAL TESORO NACIONAL;;Recibo de caja;10492;PROCURADURIA GENERAL DE LA NACION;-B/.49.02 ;Sin informacion; -;-
PANAMÁ;9/3/2020;1081670;1FHS610001181-00008759;8/4/2020;Factura de venta;10492;PROCURADURIA GENERAL DE LA NACION; B/.132.68 ;Presentado;-;0
PANAMÁ;20/1/2022;1146025;1FHS610001181-00027537;19/2/2022;Factura de venta;10492;PROCURADURIA GENERAL DE LA NACION; B/.36.06 ;Presentado;-;0
PANAMÁ;29/5/2023;1199133;;28/6/2023;Factura de venta;10492;PROCURADURIA GENERAL DE LA NACION; B/.3,094.76 ;Por Presentar;-;0
PANAMÁ;30/5/2023;1199151;;29/6/2023;Nota de crédito Ventas;10492;PROCURADURIA GENERAL DE LA NACION;-B/.170.77 ;Sin informacion; -;-
